Cells,Ligand,Time,Concentration,RFU
NK,IL2-060 monomeric,240.0,0.00047418199999999997,783.3665771000001
CD8+,IL2-060 monomeric,30.0,84.0,4281.480469
CD8+,IL2-060 monomeric,30.0,28.0,2735.151611
CD8+,IL2-060 monomeric,30.0,9.333333332999999,898.1820068
CD8+,IL2-060 monomeric,30.0,3.111111111,862.0006714
CD8+,IL2-060 monomeric,30.0,1.037037037,870.8248291000001
CD8+,IL2-060 monomeric,30.0,0.345679012,790.4116211
CD8+,IL2-060 monomeric,30.0,0.115226337,853.581543
CD8+,IL2-060 monomeric,30.0,0.038408779,798.2477417
CD8+,IL2-060 monomeric,30.0,0.012802926000000001,725.8145752
CD8+,IL2-060 monomeric,30.0,0.004267642,745.6154785
CD8+,IL2-060 monomeric,30.0,0.0014225470000000001,745.0803222999999
CD8+,IL2-060 monomeric,30.0,0.00047418199999999997,734.7471924
CD8+,IL2-060 monomeric,60.0,84.0,4098.824219
CD8+,IL2-060 monomeric,60.0,28.0,2613.611328
CD8+,IL2-060 monomeric,60.0,9.333333332999999,973.0355225
CD8+,IL2-060 monomeric,60.0,3.111111111,894.7504272
CD8+,IL2-060 monomeric,60.0,1.037037037,875.722168
CD8+,IL2-060 monomeric,60.0,0.345679012,855.7417603
CD8+,IL2-060 monomeric,60.0,0.115226337,784.6571045
CD8+,IL2-060 monomeric,60.0,0.038408779,795.1448975
CD8+,IL2-060 monomeric,60.0,0.012802926000000001,804.1572266
CD8+,IL2-060 monomeric,60.0,0.004267642,803.6490478999999
CD8+,IL2-060 monomeric,60.0,0.0014225470000000001,780.9430542
CD8+,IL2-060 monomeric,60.0,0.00047418199999999997,745.5634766
CD8+,IL2-060 monomeric,120.0,84.0,3377.813477
CD8+,IL2-060 monomeric,120.0,28.0,2214.4216309999997
CD8+,IL2-060 monomeric,120.0,9.333333332999999,972.4195557
CD8+,IL2-060 monomeric,120.0,3.111111111,880.8483887
CD8+,IL2-060 monomeric,120.0,1.037037037,861.5151978
CD8+,IL2-060 monomeric,120.0,0.345679012,831.5705566
CD8+,IL2-060 monomeric,120.0,0.115226337,817.4619141
CD8+,IL2-060 monomeric,120.0,0.038408779,782.6212158
CD8+,IL2-060 monomeric,120.0,0.012802926000000001,790.6083374
CD8+,IL2-060 monomeric,120.0,0.004267642,774.5836182
CD8+,IL2-060 monomeric,120.0,0.0014225470000000001,770.9215697999999
CD8+,IL2-060 monomeric,120.0,0.00047418199999999997,750.4420776000001
CD8+,IL2-060 monomeric,240.0,84.0,3596.01001
CD8+,IL2-060 monomeric,240.0,28.0,2486.340576
CD8+,IL2-060 monomeric,240.0,9.333333332999999,1699.8696289999998
CD8+,IL2-060 monomeric,240.0,3.111111111,1153.601074
CD8+,IL2-060 monomeric,240.0,1.037037037,985.1511230000001
CD8+,IL2-060 monomeric,240.0,0.345679012,951.6590576
CD8+,IL2-060 monomeric,240.0,0.115226337,913.6897582999999
CD8+,IL2-060 monomeric,240.0,0.038408779,858.8361815999999
CD8+,IL2-060 monomeric,240.0,0.012802926000000001,832.2089844
CD8+,IL2-060 monomeric,240.0,0.004267642,800.0726318
CD8+,IL2-060 monomeric,240.0,0.0014225470000000001,812.520874
CD8+,IL2-060 monomeric,240.0,0.00047418199999999997,782.2807007
T-reg,IL2-060 monomeric,30.0,84.0,33800.71094
T-reg,IL2-060 monomeric,30.0,28.0,38829.55469
T-reg,IL2-060 monomeric,30.0,9.333333332999999,34139.67188
T-reg,IL2-060 monomeric,30.0,3.111111111,35602.78906
T-reg,IL2-060 monomeric,30.0,1.037037037,24765.51758
T-reg,IL2-060 monomeric,30.0,0.345679012,31989.69727
T-reg,IL2-060 monomeric,30.0,0.115226337,10601.41797
T-reg,IL2-060 monomeric,30.0,0.038408779,8774.289063
T-reg,IL2-060 monomeric,30.0,0.012802926000000001,2665.33374
T-reg,IL2-060 monomeric,30.0,0.004267642,2680.043701
T-reg,IL2-060 monomeric,30.0,0.0014225470000000001,2269.393799
T-reg,IL2-060 monomeric,30.0,0.00047418199999999997,2568.927979
T-reg,IL2-060 monomeric,60.0,84.0,37354.04688
T-reg,IL2-060 monomeric,60.0,28.0,37748.91797
T-reg,IL2-060 monomeric,60.0,9.333333332999999,36665.17188
T-reg,IL2-060 monomeric,60.0,3.111111111,37072.76172
T-reg,IL2-060 monomeric,60.0,1.037037037,28421.68555
T-reg,IL2-060 monomeric,60.0,0.345679012,30589.16602
T-reg,IL2-060 monomeric,60.0,0.115226337,8612.255859
T-reg,IL2-060 monomeric,60.0,0.038408779,4038.156982
T-reg,IL2-060 monomeric,60.0,0.012802926000000001,3566.95459
T-reg,IL2-060 monomeric,60.0,0.004267642,2098.3286129999997
T-reg,IL2-060 monomeric,60.0,0.0014225470000000001,2214.692871
T-reg,IL2-060 monomeric,60.0,0.00047418199999999997,1810.1521
T-reg,IL2-060 monomeric,120.0,84.0,32081.71484
T-reg,IL2-060 monomeric,120.0,28.0,35709.29297
T-reg,IL2-060 monomeric,120.0,9.333333332999999,32122.81836
T-reg,IL2-060 monomeric,120.0,3.111111111,35779.51172
T-reg,IL2-060 monomeric,120.0,1.037037037,26706.87891
T-reg,IL2-060 monomeric,120.0,0.345679012,28009.4707
T-reg,IL2-060 monomeric,120.0,0.115226337,17186.43555
T-reg,IL2-060 monomeric,120.0,0.038408779,5531.536133
T-reg,IL2-060 monomeric,120.0,0.012802926000000001,2499.690186
T-reg,IL2-060 monomeric,120.0,0.004267642,2898.150879
T-reg,IL2-060 monomeric,120.0,0.0014225470000000001,2605.7661129999997
T-reg,IL2-060 monomeric,120.0,0.00047418199999999997,2032.66748
T-reg,IL2-060 monomeric,240.0,84.0,34350.58203
T-reg,IL2-060 monomeric,240.0,28.0,33630.83594
T-reg,IL2-060 monomeric,240.0,9.333333332999999,31699.039060000003
T-reg,IL2-060 monomeric,240.0,3.111111111,32487.75977
T-reg,IL2-060 monomeric,240.0,1.037037037,30211.847660000003
T-reg,IL2-060 monomeric,240.0,0.345679012,30480.54297
T-reg,IL2-060 monomeric,240.0,0.115226337,26133.37695
T-reg,IL2-060 monomeric,240.0,0.038408779,27174.48633
T-reg,IL2-060 monomeric,240.0,0.012802926000000001,16828.46484
T-reg,IL2-060 monomeric,240.0,0.004267642,8735.724609
T-reg,IL2-060 monomeric,240.0,0.0014225470000000001,3350.366455
T-reg,IL2-060 monomeric,240.0,0.00047418199999999997,1968.130493
Naive Treg,IL2-060 monomeric,30.0,84.0,24408.9375
Naive Treg,IL2-060 monomeric,30.0,28.0,26693.33203
Naive Treg,IL2-060 monomeric,30.0,9.333333332999999,28465.5293
Naive Treg,IL2-060 monomeric,30.0,3.111111111,29092.75977
Naive Treg,IL2-060 monomeric,30.0,1.037037037,19882.47852
Naive Treg,IL2-060 monomeric,30.0,0.345679012,22847.35352
Naive Treg,IL2-060 monomeric,30.0,0.115226337,8546.109375
Naive Treg,IL2-060 monomeric,30.0,0.038408779,7407.752441
Naive Treg,IL2-060 monomeric,30.0,0.012802926000000001,2347.62207
Naive Treg,IL2-060 monomeric,30.0,0.004267642,2022.033691
Naive Treg,IL2-060 monomeric,30.0,0.0014225470000000001,1942.4515379999998
Naive Treg,IL2-060 monomeric,30.0,0.00047418199999999997,1770.733032
Naive Treg,IL2-060 monomeric,60.0,84.0,30456.68164
Naive Treg,IL2-060 monomeric,60.0,28.0,28097.26563
Naive Treg,IL2-060 monomeric,60.0,9.333333332999999,28885.0
Naive Treg,IL2-060 monomeric,60.0,3.111111111,29862.24414
Naive Treg,IL2-060 monomeric,60.0,1.037037037,23145.82031
Naive Treg,IL2-060 monomeric,60.0,0.345679012,22398.35547
Naive Treg,IL2-060 monomeric,60.0,0.115226337,6254.201172
Naive Treg,IL2-060 monomeric,60.0,0.038408779,3191.943848
Naive Treg,IL2-060 monomeric,60.0,0.012802926000000001,2888.688232
Naive Treg,IL2-060 monomeric,60.0,0.004267642,1991.233154
Naive Treg,IL2-060 monomeric,60.0,0.0014225470000000001,1712.4482420000002
Naive Treg,IL2-060 monomeric,60.0,0.00047418199999999997,1408.065674
Naive Treg,IL2-060 monomeric,120.0,84.0,25248.83984
Naive Treg,IL2-060 monomeric,120.0,28.0,26283.12891
Naive Treg,IL2-060 monomeric,120.0,9.333333332999999,24134.69141
Naive Treg,IL2-060 monomeric,120.0,3.111111111,24868.78906
Naive Treg,IL2-060 monomeric,120.0,1.037037037,18272.28125
Naive Treg,IL2-060 monomeric,120.0,0.345679012,19835.92969
Naive Treg,IL2-060 monomeric,120.0,0.115226337,10694.55078
Naive Treg,IL2-060 monomeric,120.0,0.038408779,4860.901367
Naive Treg,IL2-060 monomeric,120.0,0.012802926000000001,2074.0307620000003
Naive Treg,IL2-060 monomeric,120.0,0.004267642,2532.9614260000003
Naive Treg,IL2-060 monomeric,120.0,0.0014225470000000001,1865.9438480000001
Naive Treg,IL2-060 monomeric,120.0,0.00047418199999999997,1593.27124
Naive Treg,IL2-060 monomeric,240.0,84.0,24976.48438
Naive Treg,IL2-060 monomeric,240.0,28.0,22605.16406
Naive Treg,IL2-060 monomeric,240.0,9.333333332999999,23868.37891
Naive Treg,IL2-060 monomeric,240.0,3.111111111,23857.75195
Naive Treg,IL2-060 monomeric,240.0,1.037037037,22202.85742
Naive Treg,IL2-060 monomeric,240.0,0.345679012,23044.83008
Naive Treg,IL2-060 monomeric,240.0,0.115226337,20815.37305
Naive Treg,IL2-060 monomeric,240.0,0.038408779,20280.77148
Naive Treg,IL2-060 monomeric,240.0,0.012802926000000001,11693.16016
Naive Treg,IL2-060 monomeric,240.0,0.004267642,4866.611816
Naive Treg,IL2-060 monomeric,240.0,0.0014225470000000001,2237.188232
Naive Treg,IL2-060 monomeric,240.0,0.00047418199999999997,1559.4567869999998
Mem Treg,IL2-060 monomeric,30.0,84.0,38195.14063
Mem Treg,IL2-060 monomeric,30.0,28.0,42635.75391
Mem Treg,IL2-060 monomeric,30.0,9.333333332999999,40784.79297
Mem Treg,IL2-060 monomeric,30.0,3.111111111,41198.55469
Mem Treg,IL2-060 monomeric,30.0,1.037037037,28114.43555
Mem Treg,IL2-060 monomeric,30.0,0.345679012,34269.6875
Mem Treg,IL2-060 monomeric,30.0,0.115226337,12422.91797
Mem Treg,IL2-060 monomeric,30.0,0.038408779,9562.84375
Mem Treg,IL2-060 monomeric,30.0,0.012802926000000001,3103.804932
Mem Treg,IL2-060 monomeric,30.0,0.004267642,2958.3396
Mem Treg,IL2-060 monomeric,30.0,0.0014225470000000001,2389.811035
Mem Treg,IL2-060 monomeric,30.0,0.00047418199999999997,2912.751953
Mem Treg,IL2-060 monomeric,60.0,84.0,42975.44531
Mem Treg,IL2-060 monomeric,60.0,28.0,42633.34766
Mem Treg,IL2-060 monomeric,60.0,9.333333332999999,42931.09766
Mem Treg,IL2-060 monomeric,60.0,3.111111111,43693.95313
Mem Treg,IL2-060 monomeric,60.0,1.037037037,30767.20117
Mem Treg,IL2-060 monomeric,60.0,0.345679012,34503.875
Mem Treg,IL2-060 monomeric,60.0,0.115226337,10688.90625
Mem Treg,IL2-060 monomeric,60.0,0.038408779,4631.302246
Mem Treg,IL2-060 monomeric,60.0,0.012802926000000001,4270.737793
Mem Treg,IL2-060 monomeric,60.0,0.004267642,2098.3286129999997
Mem Treg,IL2-060 monomeric,60.0,0.0014225470000000001,2452.587402
Mem Treg,IL2-060 monomeric,60.0,0.00047418199999999997,2099.940674
Mem Treg,IL2-060 monomeric,120.0,84.0,39663.86328
Mem Treg,IL2-060 monomeric,120.0,28.0,40490.80469
Mem Treg,IL2-060 monomeric,120.0,9.333333332999999,38818.70313
Mem Treg,IL2-060 monomeric,120.0,3.111111111,39892.26563
Mem Treg,IL2-060 monomeric,120.0,1.037037037,32116.93555
Mem Treg,IL2-060 monomeric,120.0,0.345679012,32209.07813
Mem Treg,IL2-060 monomeric,120.0,0.115226337,21044.04688
Mem Treg,IL2-060 monomeric,120.0,0.038408779,5870.375
Mem Treg,IL2-060 monomeric,120.0,0.012802926000000001,2728.631592
Mem Treg,IL2-060 monomeric,120.0,0.004267642,2978.8232420000004
Mem Treg,IL2-060 monomeric,120.0,0.0014225470000000001,2981.811035
Mem Treg,IL2-060 monomeric,120.0,0.00047418199999999997,2357.1455079999996
Mem Treg,IL2-060 monomeric,240.0,84.0,38239.48438
Mem Treg,IL2-060 monomeric,240.0,28.0,38577.16797
Mem Treg,IL2-060 monomeric,240.0,9.333333332999999,36508.74609
Mem Treg,IL2-060 monomeric,240.0,3.111111111,37223.59766
Mem Treg,IL2-060 monomeric,240.0,1.037037037,33399.00391
Mem Treg,IL2-060 monomeric,240.0,0.345679012,35100.97656
Mem Treg,IL2-060 monomeric,240.0,0.115226337,29346.570310000003
Mem Treg,IL2-060 monomeric,240.0,0.038408779,32827.75781
Mem Treg,IL2-060 monomeric,240.0,0.012802926000000001,21249.42188
Mem Treg,IL2-060 monomeric,240.0,0.004267642,10093.3291
Mem Treg,IL2-060 monomeric,240.0,0.0014225470000000001,3761.9658200000003
Mem Treg,IL2-060 monomeric,240.0,0.00047418199999999997,2380.794434
T-helper,IL2-060 monomeric,30.0,84.0,12627.36914
T-helper,IL2-060 monomeric,30.0,28.0,12862.87109
T-helper,IL2-060 monomeric,30.0,9.333333332999999,4572.583984000001
T-helper,IL2-060 monomeric,30.0,3.111111111,3392.043457
T-helper,IL2-060 monomeric,30.0,1.037037037,2004.940674
T-helper,IL2-060 monomeric,30.0,0.345679012,2227.503662
T-helper,IL2-060 monomeric,30.0,0.115226337,1581.079468
T-helper,IL2-060 monomeric,30.0,0.038408779,1663.965576
T-helper,IL2-060 monomeric,30.0,0.012802926000000001,1709.2753910000001
T-helper,IL2-060 monomeric,30.0,0.004267642,1732.097168
T-helper,IL2-060 monomeric,30.0,0.0014225470000000001,1666.12854
T-helper,IL2-060 monomeric,30.0,0.00047418199999999997,1576.052002
T-helper,IL2-060 monomeric,60.0,84.0,7900.640137
T-helper,IL2-060 monomeric,60.0,28.0,6043.882324
T-helper,IL2-060 monomeric,60.0,9.333333332999999,3941.681396
T-helper,IL2-060 monomeric,60.0,3.111111111,3611.085449
T-helper,IL2-060 monomeric,60.0,1.037037037,2415.236572
T-helper,IL2-060 monomeric,60.0,0.345679012,1973.390747
T-helper,IL2-060 monomeric,60.0,0.115226337,1513.938477
T-helper,IL2-060 monomeric,60.0,0.038408779,1588.2769779999999
T-helper,IL2-060 monomeric,60.0,0.012802926000000001,1527.223145
T-helper,IL2-060 monomeric,60.0,0.004267642,1413.699585
T-helper,IL2-060 monomeric,60.0,0.0014225470000000001,1525.542236
T-helper,IL2-060 monomeric,60.0,0.00047418199999999997,1405.642212
T-helper,IL2-060 monomeric,120.0,84.0,4136.228516
T-helper,IL2-060 monomeric,120.0,28.0,3918.181396
T-helper,IL2-060 monomeric,120.0,9.333333332999999,2851.503662
T-helper,IL2-060 monomeric,120.0,3.111111111,3095.773682
T-helper,IL2-060 monomeric,120.0,1.037037037,2295.067871
T-helper,IL2-060 monomeric,120.0,0.345679012,1936.3925780000002
T-helper,IL2-060 monomeric,120.0,0.115226337,1509.0214839999999
T-helper,IL2-060 monomeric,120.0,0.038408779,1643.626465
T-helper,IL2-060 monomeric,120.0,0.012802926000000001,1568.282471
T-helper,IL2-060 monomeric,120.0,0.004267642,1545.311523
T-helper,IL2-060 monomeric,120.0,0.0014225470000000001,1579.220459
T-helper,IL2-060 monomeric,120.0,0.00047418199999999997,1559.732422
T-helper,IL2-060 monomeric,240.0,84.0,8384.455078
T-helper,IL2-060 monomeric,240.0,28.0,5542.208008
T-helper,IL2-060 monomeric,240.0,9.333333332999999,4122.351563
T-helper,IL2-060 monomeric,240.0,3.111111111,3351.6455079999996
T-helper,IL2-060 monomeric,240.0,1.037037037,2683.315918
T-helper,IL2-060 monomeric,240.0,0.345679012,2930.109375
T-helper,IL2-060 monomeric,240.0,0.115226337,2521.63208
T-helper,IL2-060 monomeric,240.0,0.038408779,2106.100098
T-helper,IL2-060 monomeric,240.0,0.012802926000000001,1759.980225
T-helper,IL2-060 monomeric,240.0,0.004267642,1572.119385
T-helper,IL2-060 monomeric,240.0,0.0014225470000000001,1300.682861
T-helper,IL2-060 monomeric,240.0,0.00047418199999999997,1302.6345210000002
Naive Th,IL2-060 monomeric,30.0,84.0,6193.63623
Naive Th,IL2-060 monomeric,30.0,28.0,5763.84668
Naive Th,IL2-060 monomeric,30.0,9.333333332999999,2684.180664
Naive Th,IL2-060 monomeric,30.0,3.111111111,2365.074219
Naive Th,IL2-060 monomeric,30.0,1.037037037,1604.547852
Naive Th,IL2-060 monomeric,30.0,0.345679012,1806.3067629999998
Naive Th,IL2-060 monomeric,30.0,0.115226337,1329.688477
Naive Th,IL2-060 monomeric,30.0,0.038408779,1383.36499
Naive Th,IL2-060 monomeric,30.0,0.012802926000000001,1459.204834
Naive Th,IL2-060 monomeric,30.0,0.004267642,1518.807251
Naive Th,IL2-060 monomeric,30.0,0.0014225470000000001,1421.122559
Naive Th,IL2-060 monomeric,30.0,0.00047418199999999997,1345.577148
Naive Th,IL2-060 monomeric,60.0,84.0,3168.606445
Naive Th,IL2-060 monomeric,60.0,28.0,2969.701172
Naive Th,IL2-060 monomeric,60.0,9.333333332999999,2574.068848
Naive Th,IL2-060 monomeric,60.0,3.111111111,2385.063965
Naive Th,IL2-060 monomeric,60.0,1.037037037,1812.672729
Naive Th,IL2-060 monomeric,60.0,0.345679012,1624.03833
Naive Th,IL2-060 monomeric,60.0,0.115226337,1273.5234380000002
Naive Th,IL2-060 monomeric,60.0,0.038408779,1377.212036
Naive Th,IL2-060 monomeric,60.0,0.012802926000000001,1296.4438480000001
Naive Th,IL2-060 monomeric,60.0,0.004267642,1185.310547
Naive Th,IL2-060 monomeric,60.0,0.0014225470000000001,1308.270386
Naive Th,IL2-060 monomeric,60.0,0.00047418199999999997,1189.5686039999998
Naive Th,IL2-060 monomeric,120.0,84.0,2329.575439
Naive Th,IL2-060 monomeric,120.0,28.0,2260.7573239999997
Naive Th,IL2-060 monomeric,120.0,9.333333332999999,1977.9233399999998
Naive Th,IL2-060 monomeric,120.0,3.111111111,2217.8544920000004
Naive Th,IL2-060 monomeric,120.0,1.037037037,1714.5219730000001
Naive Th,IL2-060 monomeric,120.0,0.345679012,1515.154785
Naive Th,IL2-060 monomeric,120.0,0.115226337,1277.616455
Naive Th,IL2-060 monomeric,120.0,0.038408779,1397.444946
Naive Th,IL2-060 monomeric,120.0,0.012802926000000001,1382.0717769999999
Naive Th,IL2-060 monomeric,120.0,0.004267642,1333.417236
Naive Th,IL2-060 monomeric,120.0,0.0014225470000000001,1353.095703
Naive Th,IL2-060 monomeric,120.0,0.00047418199999999997,1360.721313
Naive Th,IL2-060 monomeric,240.0,84.0,2766.435547
Naive Th,IL2-060 monomeric,240.0,28.0,2478.0896
Naive Th,IL2-060 monomeric,240.0,9.333333332999999,2149.369629
Naive Th,IL2-060 monomeric,240.0,3.111111111,2177.76709
Naive Th,IL2-060 monomeric,240.0,1.037037037,1875.9589839999999
Naive Th,IL2-060 monomeric,240.0,0.345679012,1994.550659
Naive Th,IL2-060 monomeric,240.0,0.115226337,1819.060059
Naive Th,IL2-060 monomeric,240.0,0.038408779,1639.414673
Naive Th,IL2-060 monomeric,240.0,0.012802926000000001,1443.424683
Naive Th,IL2-060 monomeric,240.0,0.004267642,1338.451172
Naive Th,IL2-060 monomeric,240.0,0.0014225470000000001,1079.334961
Naive Th,IL2-060 monomeric,240.0,0.00047418199999999997,1071.14502
Mem Th,IL2-060 monomeric,30.0,84.0,25139.61914
Mem Th,IL2-060 monomeric,30.0,28.0,26116.33203
Mem Th,IL2-060 monomeric,30.0,9.333333332999999,14772.7168
Mem Th,IL2-060 monomeric,30.0,3.111111111,8730.235352
Mem Th,IL2-060 monomeric,30.0,1.037037037,2576.939453
Mem Th,IL2-060 monomeric,30.0,0.345679012,3072.7973629999997
Mem Th,IL2-060 monomeric,30.0,0.115226337,1896.792969
Mem Th,IL2-060 monomeric,30.0,0.038408779,2010.8613280000002
Mem Th,IL2-060 monomeric,30.0,0.012802926000000001,1980.250244
Mem Th,IL2-060 monomeric,30.0,0.004267642,1997.300415
Mem Th,IL2-060 monomeric,30.0,0.0014225470000000001,1938.0885010000002
Mem Th,IL2-060 monomeric,30.0,0.00047418199999999997,1840.7402339999999
Mem Th,IL2-060 monomeric,60.0,84.0,21911.07813
Mem Th,IL2-060 monomeric,60.0,28.0,17708.34961
Mem Th,IL2-060 monomeric,60.0,9.333333332999999,11730.05273
Mem Th,IL2-060 monomeric,60.0,3.111111111,10104.39453
Mem Th,IL2-060 monomeric,60.0,1.037037037,3700.429199
Mem Th,IL2-060 monomeric,60.0,0.345679012,2500.277832
Mem Th,IL2-060 monomeric,60.0,0.115226337,1778.08252
Mem Th,IL2-060 monomeric,60.0,0.038408779,1849.637451
Mem Th,IL2-060 monomeric,60.0,0.012802926000000001,1804.923096
Mem Th,IL2-060 monomeric,60.0,0.004267642,1656.2578130000002
Mem Th,IL2-060 monomeric,60.0,0.0014225470000000001,1768.1036379999998
Mem Th,IL2-060 monomeric,60.0,0.00047418199999999997,1654.010498
Mem Th,IL2-060 monomeric,120.0,84.0,15702.91895
Mem Th,IL2-060 monomeric,120.0,28.0,12810.77051
Mem Th,IL2-060 monomeric,120.0,9.333333332999999,7352.799316
Mem Th,IL2-060 monomeric,120.0,3.111111111,7099.472168000001
Mem Th,IL2-060 monomeric,120.0,1.037037037,4083.2626950000003
Mem Th,IL2-060 monomeric,120.0,0.345679012,2475.858398
Mem Th,IL2-060 monomeric,120.0,0.115226337,1826.466064
Mem Th,IL2-060 monomeric,120.0,0.038408779,1931.5839839999999
Mem Th,IL2-060 monomeric,120.0,0.012802926000000001,1841.281982
Mem Th,IL2-060 monomeric,120.0,0.004267642,1818.133301
Mem Th,IL2-060 monomeric,120.0,0.0014225470000000001,1833.909668
Mem Th,IL2-060 monomeric,120.0,0.00047418199999999997,1789.609375
Mem Th,IL2-060 monomeric,240.0,84.0,26737.04492
Mem Th,IL2-060 monomeric,240.0,28.0,22123.0918
Mem Th,IL2-060 monomeric,240.0,9.333333332999999,17581.04492
Mem Th,IL2-060 monomeric,240.0,3.111111111,12657.60352
Mem Th,IL2-060 monomeric,240.0,1.037037037,10583.75781
Mem Th,IL2-060 monomeric,240.0,0.345679012,9765.426758
Mem Th,IL2-060 monomeric,240.0,0.115226337,5649.97168
Mem Th,IL2-060 monomeric,240.0,0.038408779,3174.876221
Mem Th,IL2-060 monomeric,240.0,0.012802926000000001,2200.043945
Mem Th,IL2-060 monomeric,240.0,0.004267642,1872.1357420000002
Mem Th,IL2-060 monomeric,240.0,0.0014225470000000001,1604.8126220000001
Mem Th,IL2-060 monomeric,240.0,0.00047418199999999997,1549.0063480000001
NK,Cterm IL-2 monomeric WT,30.0,84.0,1727.200439
NK,Cterm IL-2 monomeric WT,30.0,28.0,1575.56958
NK,Cterm IL-2 monomeric WT,30.0,9.333333332999999,736.4750366000001
NK,Cterm IL-2 monomeric WT,30.0,3.111111111,599.6741943
NK,Cterm IL-2 monomeric WT,30.0,1.037037037,645.1920776000001
NK,Cterm IL-2 monomeric WT,30.0,0.345679012,655.7686157
NK,Cterm IL-2 monomeric WT,30.0,0.115226337,584.1417847
NK,Cterm IL-2 monomeric WT,30.0,0.038408779,563.6767578
NK,Cterm IL-2 monomeric WT,30.0,0.012802926000000001,595.1552734
NK,Cterm IL-2 monomeric WT,30.0,0.004267642,558.8737792999999
NK,Cterm IL-2 monomeric WT,30.0,0.0014225470000000001,593.0952147999999
NK,Cterm IL-2 monomeric WT,30.0,0.00047418199999999997,494.67446900000004
NK,Cterm IL-2 monomeric WT,60.0,84.0,1692.343018
NK,Cterm IL-2 monomeric WT,60.0,28.0,1221.849731
NK,Cterm IL-2 monomeric WT,60.0,9.333333332999999,749.3634643999999
NK,Cterm IL-2 monomeric WT,60.0,3.111111111,518.2542725
NK,Cterm IL-2 monomeric WT,60.0,1.037037037,667.2907104
NK,Cterm IL-2 monomeric WT,60.0,0.345679012,642.4945679
NK,Cterm IL-2 monomeric WT,60.0,0.115226337,518.7287598
NK,Cterm IL-2 monomeric WT,60.0,0.038408779,595.3120117000001
NK,Cterm IL-2 monomeric WT,60.0,0.012802926000000001,580.6062012
NK,Cterm IL-2 monomeric WT,60.0,0.004267642,628.1097412
NK,Cterm IL-2 monomeric WT,60.0,0.0014225470000000001,683.458313
NK,Cterm IL-2 monomeric WT,60.0,0.00047418199999999997,588.5933227999999
NK,Cterm IL-2 monomeric WT,120.0,84.0,1746.69043
NK,Cterm IL-2 monomeric WT,120.0,28.0,1651.1713869999999
NK,Cterm IL-2 monomeric WT,120.0,9.333333332999999,1006.5737300000001
